Disease,Description
Fungal infection,"Грибковая инфекция — это распространённое кожное заболевание, вызываемое грибами."
Allergy,"Аллергия — это реакция иммунной системы на чужеродные вещества, вызывающая различные симптомы."
GERD,"Гастроэзофагеальная рефлюксная болезнь — это состояние, при котором желудочная кислота попадает в пищевод."
Chronic cholestasis,"Хронический холестаз — это нарушение оттока желчи, приводящее к её накоплению в печени."
Drug Reaction,"Лекарственная реакция — это неблагоприятный ответ организма на приём медикаментов."
Peptic ulcer disease,"Язва желудка — это заболевание, при котором образуются язвы в слизистой оболочке желудка или двенадцатиперстной кишки."
AIDS,"СПИД — это вирусное заболевание, разрушающее иммунную систему."
Diabetes,"Сахарный диабет — это хроническое заболевание, при котором уровень сахара в крови становится слишком высоким."
Gastroenteritis,"Гастроэнтерит — это воспаление желудка и кишечника, вызывающее диарею и рвоту."
Bronchial Asthma,"Бронхиальная астма — это хроническое воспалительное заболевание дыхательных путей."
Hypertension,"Артериальная гипертензия — это состояние с постоянно повышенным артериальным давлением."
Migraine,"Мигрень — это неврологическое расстройство, сопровождающееся сильной головной болью."
Cervical spondylosis,"Шейный спондилёз — это дегенеративное заболевание шейного отдела позвоночника."
Paralysis (brain hemorrhage),"Паралич (кровоизлияние в мозг) — это потеря двигательных функций из-за кровоизлияния в мозг."
Jaundice,"Желтуха — это состояние, при котором кожа и глаза приобретают жёлтый оттенок из-за избытка билирубина."
Malaria,"Малярия — это паразитарное заболевание, передающееся через укусы комаров."
Chicken pox,"Ветряная оспа — это вирусное заболевание, вызывающее зудящую сыпь и лихорадку."
Dengue,"Денге — это вирусное заболевание, передающееся через укусы комаров и вызывающее гриппоподобные симптомы."
Typhoid,"Тиф — это бактериальная инфекция, сопровождающаяся высокой температурой и желудочными симптомами."
hepatitis A,"Гепатит A — это вирусное заболевание печени."
Hepatitis B,"Гепатит B — это вирусная инфекция, поражающая печень."
Hepatitis C,"Гепатит C — это вирусное заболевание, вызывающее воспаление печени."
Hepatitis D,"Гепатит D — это тяжёлое вирусное заболевание печени, развивающееся при коинфекции с гепатитом B."
Hepatitis E,"Гепатит E — это вирусное заболевание печени, часто передающееся через загрязнённую воду."
Alcoholic hepatitis,"Алкогольный гепатит — это воспаление печени, вызванное чрезмерным употреблением алкоголя."
Tuberculosis,"Туберкулёз — это бактериальная инфекция, в первую очередь поражающая лёгкие."
Common Cold,"Простуда — это вирусная инфекция верхних дыхательных путей."
Pneumonia,"Пневмония — это воспалительное заболевание, поражающее альвеолы в лёгких."
Dimorphic hemmorhoids(piles),"Геморрой — это заболевание, при котором кровеносные сосуды в прямой кишке становятся воспалёнными и опухшими."
Heart attack,"Инфаркт миокарда — это внезапное прекращение кровотока к сердечной мышце."
Varicose veins,"Варикозное расширение вен — это увеличение и скручивание вен, обычно на ногах."
Hypothyroidism,"Гипотиреоз — это состояние, при котором щитовидная железа вырабатывает недостаточно гормонов."
Hyperthyroidism,"Гипертиреоз — это состояние, при котором щитовидная железа вырабатывает избыток гормонов."
Hypoglycemia,"Гипогликемия — это состояние, характеризующееся аномально низким уровнем сахара в крови."
Osteoarthristis,"Остеоартрит — это дегенеративное заболевание суставов, поражающее хрящевую ткань."
Arthritis,"Артрит — это воспаление одного или нескольких суставов, вызывающее боль и скованность."
(vertigo) Paroymsal Positional Vertigo,"Доброкачественное пароксизмальное позиционное головокружение — это тип головокружения, возникающий при определённых движениях головы."
Acne,"Акне — это кожное заболевание, при котором волосяные фолликулы закупориваются кожным салом и мёртвыми клетками кожи."
Urinary tract infection,"Инфекция мочевыводящих путей — это воспалительное заболевание, поражающее любую часть мочевыделительной системы."
Psoriasis,"Псориаз — это хроническое кожное заболевание, характеризующееся красными, зудящими и шелушащимися участками."
Impetigo,"Импетиго — это высоко заразная кожная инфекция, вызывающая появление красных язв и пузырей."